generator,synth_years,ticker,mae,mse,directional_accuracy
gaussian,1.0,FHN,0.00446871900931,3.0295836040750143e-05,0.6068376068376068
gaussian,1.0,PNC,0.0048747714608907,3.521378312143497e-05,0.5897435897435898
gaussian,1.0,WAFD,0.0034394350368529,2.043001404672395e-05,0.4017094017094017
gaussian,1.0,FNB,0.0040739281103014,2.6597408577799797e-05,0.5213675213675214
gaussian,1.0,FULT,0.0048989364877343,3.7198835343588144e-05,0.5641025641025641
gaussian,1.0,ASB,0.0043210256844758,2.9585908123408444e-05,0.5641025641025641
gaussian,1.0,WBS,0.0033082603476941,2.5175711925840005e-05,0.6153846153846154
gaussian,1.0,MTB,0.0047753709368407,3.4901604522019625e-05,0.5641025641025641
gaussian,1.0,ZION,0.0052212346345186,4.086899207322858e-05,0.5726495726495726
gaussian,1.0,BOH,0.0042297509498894,2.483285788912326e-05,0.3333333333333333
gaussian,1.0,UBSI,0.0045443391427397,3.0076620532781817e-05,0.5555555555555556
gaussian,1.0,CVBF,0.0042403088882565,2.6913276087725535e-05,0.4700854700854701
gaussian,1.0,CBSH,0.0033453998621553,1.75127133843489e-05,0.5726495726495726
gaussian,1.0,GBCI,0.005575755611062,4.487882324610837e-05,0.6324786324786325
rbig,24.0,BAC,0.0049231583252549,3.659553112811409e-05,0.4786324786324786
rbig,24.0,WFC,0.0058682248927652,5.117916953167878e-05,0.5042735042735043
rbig,24.0,JPM,0.0039269011467695,2.558767664595507e-05,0.5470085470085471
rbig,24.0,C,0.0054689450189471,4.736586197395809e-05,0.5726495726495726
rbig,24.0,HBAN,0.0054378407076001,4.482789154280909e-05,0.4957264957264957
rbig,24.0,USB,0.0046976474113762,3.3263160730712116e-05,0.4188034188034188
rbig,24.0,TFC,0.0053162206895649,4.330520096118562e-05,0.452991452991453
rbig,24.0,KEY,0.0050127687864005,3.8985246646916494e-05,0.6068376068376068
rbig,24.0,RF,0.0050349128432571,4.027730392408557e-05,0.5299145299145299
rbig,24.0,FITB,0.005881902296096,5.365343895391561e-05,0.4273504273504273
rbig,24.0,VLY,0.0050509632565081,3.902957905665971e-05,0.376068376068376
rbig,24.0,FHN,0.0045832218602299,3.067966827074997e-05,0.6068376068376068
rbig,24.0,PNC,0.0049648331478238,3.601953721954487e-05,0.5897435897435898
rbig,24.0,WAFD,0.003430767217651,2.0358493202365935e-05,0.4017094017094017
rbig,24.0,FNB,0.0040954467840492,2.6966221412294544e-05,0.4786324786324786
