family,sigma,relative,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,n_iters,grid_size,noise_dist,df,shrinkage_alpha,shrinkage_target,marginal,rotation,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g
noise,0.05,True,9.765574774817098e-05,0.0325457540883223,0.3646728229449607,1.0,1.072505761157302,0.0001228984183475,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0532120072591541,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0065605938197405,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0015504156881339,0.0750742896030214,0.6566586164068196,1.0,1.0758504538373657,0.0005940967157974,1.2,,10.0,400.0,,,,,,,,,,,,,
noise,0.05,False,0.3693980868392704,3.110154056851544,1.284352345325244,1.0,4.769962407682058,0.0012735452728049,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0521260146913509,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,2.0291042069022724e-05,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0007202700340517,0.0460694300375232,0.5523298672312899,1.0,0.9692255303590108,0.0004801052839495,1.4,,15.0,300.0,,,,,,,,,,,,,
noise,0.1,True,8.023754150304763e-05,0.0349357013820545,0.3631120024491393,1.0,1.0766437825177635,0.000113473019405,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0548236888949968,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0041162520960732,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0001889546454047,0.0470221575952407,0.5616366474623322,1.0,0.9977889696570524,0.0002672222222047,1.6,,15.0,1000.0,,,,,,,,,,,,,
noise,0.02,False,0.2708657470816666,1.0963564357975066,0.9577209176383332,1.0,2.264756446926662,0.0032376716411962,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0587420385739116,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0005207223587866,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0,0.0403364234172881,0.4474848767407611,1.0,0.9784612489029832,0.0,1.8,,20.0,300.0,,,,,,,,,,,,,
noise,0.3,False,0.3819545453838182,20.05748955931103,1.3921240331841729,1.0,26.686016520274627,0.0011429716733692,0.7,,,,,,,,,,,,,,,,
gaussian,,,0.0521080798377666,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0028730288161581,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0008643447485819,0.0460694300375232,0.5523298672312899,1.0,0.9692255303590108,0.0006719546430123,1.4,,15.0,300.0,,,,,,,,,,,,,
noise,0.02,True,0.0,0.0321572081403905,0.365592426724397,1.0,1.0713331268976336,0.0,0.4,,,,,,,,,,,,,,,,
gaussian,,,0.0588657561155647,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0033033462434088,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0019162111469862,0.0884907303804837,0.7682837956656338,1.0,1.1345900316950468,0.0006512896709229,0.8,,5.0,600.0,,,,,,,,,,,,,
noise,0.02,True,0.0,0.0321572081403905,0.365592426724397,1.0,1.0713331268976336,0.0,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0510602461705363,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0011412919974044,0.5,True,,,,,,,,,,,,,,,
rbig,,,5.415689273785551e-05,0.0372474886234923,0.4436543231449845,1.0,0.9508276418454288,4.1834582025432894e-05,2.3,,30.0,100.0,,,,,,,,,,,,,
noise,0.5,False,0.3815632242290416,33.627189289343654,1.3938906523648549,1.0,44.28903861426737,0.0005305099491979,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0543296969375064,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0009954513492213,0.4,False,,,,,,,,,,,,,,,
rbig,,,0.0,0.0285034867670559,0.4077853128586006,1.0,0.9621573001415138,0.0,3.1,,40.0,200.0,,,,,,,,,,,,,
noise,0.15,True,0.0003909900500441,0.0407215255585134,0.362106111655096,1.0,1.0834808003297498,0.0001085363502694,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0573115494822306,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0038790056907133,0.5,False,,,,,,,,,,,,,,,
rbig,,,4.638336942164312e-05,0.042009991706489,0.4467581063256508,1.0,1.003797378700326,4.650512955872104e-05,1.9,,20.0,1000.0,,,,,,,,,,,,,
noise,0.1,True,0.000270606735267,0.0349357013820545,0.3631120024491393,1.0,1.0766437825177635,0.0003369644907941,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0517867345194368,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0089738605923438,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0003891102845546,0.0414632818657971,0.4441795569275525,1.0,0.944160752703698,8.561699109590532e-05,1.8,,20.0,100.0,,,,,,,,,,,,,
noise,0.1,True,0.0,0.0349357013820545,0.3631120024491393,1.0,1.0766437825177635,0.0,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.056736325574822,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.002828584386466,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0014175655222886,0.0737238768337592,0.658254222878542,1.0,1.06557701278834,0.0009714171087023,1.1,,10.0,300.0,,,,,,,,,,,,,
noise,0.01,False,0.1178835545909579,0.4484258533407843,0.6095750456775739,1.0,1.5172983389404626,0.0064813740886504,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.055549033817229,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0011847080420536,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0002197933019374,0.0404814840970488,0.444468010441248,1.0,0.9665647292080564,0.0002992739881885,1.9,,20.0,200.0,,,,,,,,,,,,,
noise,0.5,True,0.0194036993815214,0.1655105031360488,0.443157532213995,1.0,1.1985912427353451,0.0008656293556406,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0559761853887548,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0058974704355297,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0022372744485123,0.0847443792354674,0.7665643100000914,1.0,1.1020874416789757,0.0008830593180822,0.8,,5.0,400.0,,,,,,,,,,,,,
noise,0.15,False,0.381773487898389,9.882906175987614,1.3828271170881945,1.0,13.497666290995518,0.0007705303280305,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0575099003860609,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0027435235294844,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0006648402976308,0.0477688427531301,0.530828837472121,1.0,0.9311858158673172,0.0005772947989481,1.5,,15.0,100.0,,,,,,,,,,,,,
noise,0.5,True,0.0184679845745409,0.1655105031360488,0.443157532213995,1.0,1.1985912427353451,0.0037864555015181,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0522680710800232,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0051236755278352,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0001824691720218,0.0414632818657971,0.4441795569275525,1.0,0.944160752703698,0.0002580503777882,1.7,,20.0,100.0,,,,,,,,,,,,,
noise,0.02,False,0.2804310916122053,1.0963564357975066,0.9577209176383332,1.0,2.264756446926662,0.0050762989672525,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0559639995327418,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0022908254310507,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0001175275489964,0.0460694300375232,0.5523298672312899,1.0,0.9692255303590108,0.0001319450161772,1.5,,15.0,300.0,,,,,,,,,,,,,
noise,0.1,False,0.3800155633945745,6.493875718842222,1.3665055418234258,1.0,9.114941138008074,0.0004084384147814,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0537265885207081,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0007745939396714,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0,0.0293163019456506,0.3993780131702692,1.0,0.9843104824729954,0.0,4.6,,60.0,600.0,,,,,,,,,,,,,
noise,0.5,False,0.381743194988384,33.627189289343654,1.3938906523648549,1.0,44.28903861426737,0.000696850493469,0.6,,,,,,,,,,,,,,,,
gaussian,,,0.0583238550886392,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0024557375769038,0.5,False,,,,,,,,,,,,,,,
rbig,,,3.97883552497591e-05,0.031251145200739,0.4236145733875691,1.0,0.9870655343311798,5.6269231618728055e-05,4.6,,60.0,200.0,,,,,,,,,,,,,
noise,0.15,True,0.0004360521130433,0.0407215255585134,0.362106111655096,1.0,1.0834808003297498,0.0006166708121673,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0570015337736142,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0060987179740484,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0020839275779303,0.077194388681554,0.7567071099771858,1.0,1.0123780323071752,0.0009192945302784,0.8,,5.0,100.0,,,,,,,,,,,,,
noise,0.01,False,0.1174482943252825,0.4484258533407843,0.6095750456775739,1.0,1.5172983389404626,0.008195006353168,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0570532961260447,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0002061727204873,0.5,False,,,,,,,,,,,,,,,
rbig,,,0.0009459393814059,0.0719517485300534,0.6511211053147599,1.0,1.0457087843498971,0.0004171510033187,1.1,,10.0,200.0,,,,,,,,,,,,,
noise,0.2,True,0.000404163488606,0.0504026814725282,0.3626115278384734,1.0,1.0929581647777846,5.679927220696232e-05,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0558236326403196,0.2609132249696647,0.3925257868248201,1.0,1.0674438737550966,0.0006753977640877,0.5,True,,,,,,,,,,,,,,,
rbig,,,0.0003261187891696,0.0414632818657971,0.4441795569275525,1.0,0.944160752703698,0.0001355685204945,1.8,,20.0,100.0,,,,,,,,,,,,,
noise,0.5,False,0.3813501352264639,33.627189289343654,1.3938906523648549,1.0,44.28903861426737,0.0007235828587397,0.5,,,,,,,,,,,,,,,,
gaussian,,,0.0579230825289198,0.2565296444633675,0.3921546833579927,1.0,1.0600785881223906,0.0003177672965859,0.5,False,,,,,,,,,,,,,,,
rbig,,,8.260337343418689e-05,0.0281238435859907,0.4240868134690091,1.0,0.9722244110406276,0.0001168188110083,3.2,,40.0,600.0,,,,,,,,,,,,,
noise,0.3,False,0.3822145161822318,20.05748955931103,1.3921240331841729,1.0,26.686016520274627,0.0011361712967806,0.6,,,,,,,,,,,,,,,,
