family,n_iters,grid_size,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g,sigma,relative,noise_dist,df,shrinkage,shrinkage_alpha,shrinkage_target,marginal,rotation
gan,,,0.19417507822533442,0.6728009168188341,1.7860149581825022,1.0,0.9017088894459384,,122.2,64.0,500.0,128.0,64x64,16x8,0.0005,2.0,,,,,,,,,
gan,,,0.37324973053405097,1.4514029933921682,1.3080016527680893,1.0,1.3234681051963644,,78.9,64.0,300.0,256.0,32x64x32,32x16,5e-05,2.0,,,,,,,,,
gan,,,0.1149039207788356,0.40950843067538456,0.7261560684064754,1.0,0.7324364489074664,,406.7,32.0,1200.0,64.0,32x32,32x16,0.0003,3.0,,,,,,,,,
gan,,,0.741103886501888,1.487195325479331,1.635065104303187,1.0,0.6902508595110758,,111.6,32.0,800.0,32.0,64x128x64,32x16,0.0001,1.0,,,,,,,,,
gan,,,0.3536697201564327,1.059137640923952,2.6558242294573104,1.0,1.1630918371018613,,69.2,4.0,500.0,64.0,128x128,64x64,2e-05,1.0,,,,,,,,,
gan,,,0.18951872013528315,0.5387595110486827,1.3248185424712617,1.0,0.5876198955742968,,282.6,32.0,800.0,64.0,32x64x32,64x32,0.0003,3.0,,,,,,,,,
gan,,,0.10073185584957278,0.437668629914305,3.138725737564034,1.0,1.1628836113872334,,308.3,4.0,1200.0,256.0,16x32x16,16x8,5e-05,2.0,,,,,,,,,
gan,,,0.053382146686259735,0.38582351322061453,1.3360762421795678,1.0,0.8631080016124031,,372.3,16.0,1500.0,64.0,16x32x16,64x64,0.0005,2.0,,,,,,,,,
gan,,,0.26746989613504635,0.6028220869324177,2.02147406286337,1.0,0.519675271972196,,102.7,64.0,300.0,32.0,64x128x64,128x64,0.0003,3.0,,,,,,,,,
gan,,,0.7434761113670512,1.0511965174280116,1.8347953049227945,1.0,0.5366885943312021,,516.7,4.0,1500.0,64.0,128x128,16x8,0.0005,3.0,,,,,,,,,
gan,,,0.16384557541801664,0.535606030847334,2.293710260644171,1.0,1.263534998898625,,108.0,64.0,300.0,128.0,16x32x16,128x64,0.0001,3.0,,,,,,,,,
gan,,,0.46360045565456587,0.7737960214716388,2.090775569736019,1.0,0.1453861071066514,,46.3,8.0,300.0,256.0,32x64x32,64x32,0.001,1.0,,,,,,,,,
gan,,,0.6114505265474385,1.3427065488413905,1.9457703299390754,1.0,0.7393055647611483,,73.9,8.0,300.0,64.0,128x128,64x32,5e-05,2.0,,,,,,,,,
gan,,,0.16245822884009786,0.578335867184626,0.8485848114160844,1.0,0.9086845355470088,,209.5,16.0,1500.0,32.0,32x64x32,64x64,2e-05,1.0,,,,,,,,,
gan,,,0.06122633391682175,0.3480172233272946,0.7868608793207515,1.0,0.734603936037962,,40.5,32.0,300.0,32.0,32x32,128x64,0.0005,1.0,,,,,,,,,
gan,,,0.4368464072716168,1.5867652352280774,2.1082118064586144,1.0,1.3891907605974734,,424.8,16.0,1200.0,128.0,32x32,16x8,2e-05,3.0,,,,,,,,,
gan,,,0.018757933287779527,0.18625166058724077,1.3542410357463799,1.0,0.8837539991910696,,284.7,4.0,800.0,64.0,16x32x16,64x64,0.0001,3.0,,,,,,,,,
gan,,,0.265842977919283,0.708623713836117,2.753196824533194,1.0,0.8159316410219061,,70.5,8.0,500.0,64.0,16x32x16,64x32,0.0005,1.0,,,,,,,,,
gan,,,0.053607782340231114,0.2550521933028235,0.7438239814901917,1.0,0.8121023742622384,,528.9,16.0,1500.0,128.0,64x64,64x64,0.0005,3.0,,,,,,,,,
gan,,,0.2363675359454417,0.5843800981238216,1.661848451189846,1.0,0.7217987416977757,,201.8,32.0,800.0,128.0,32x64x32,32x16,0.0001,2.0,,,,,,,,,
gan,,,1.3810276331800933,3.2403550754426598,,1.0,0.002892579662035744,,104.4,64.0,300.0,128.0,128x128,32x16,0.001,3.0,,,,,,,,,
gan,,,0.3008245976281524,0.6516558267001873,1.7907061624956446,1.0,0.3792600990606959,,128.7,8.0,500.0,128.0,64x128x64,64x32,0.0003,2.0,,,,,,,,,
gan,,,1.1310866932238417,2.8012214527973374,,1.0,0.2212800146188083,,211.1,32.0,1500.0,32.0,32x64x32,16x8,0.0001,1.0,,,,,,,,,
gan,,,0.19102680889790646,0.5261314403498415,0.7169780846241727,1.0,0.6481999562309264,,198.9,8.0,800.0,128.0,64x64,128x64,0.0001,2.0,,,,,,,,,
gan,,,0.32241185919287263,1.0409935116799294,1.7102717656868243,1.0,1.112901507169786,,187.1,16.0,800.0,32.0,128x128,32x16,2e-05,2.0,,,,,,,,,
gan,,,0.5406026383363867,1.1201286164053226,3.18137991846086,1.0,0.580690318399947,,304.5,16.0,1200.0,128.0,32x64x32,32x16,0.0005,2.0,,,,,,,,,
gan,,,0.17594159492061634,0.6403091853691869,0.717031665231484,1.0,0.9693863333049405,,447.1,64.0,1200.0,256.0,128x128,128x64,0.0003,3.0,,,,,,,,,
gan,,,0.10891215674681254,0.4470884683125503,1.3972482150614516,1.0,0.7529283931346443,,173.4,32.0,500.0,32.0,64x128x64,128x64,5e-05,3.0,,,,,,,,,
gan,,,0.16397862231675076,0.6102700547147399,1.5294099699158146,1.0,0.9580063406619793,,372.5,16.0,1500.0,64.0,32x64x32,64x32,0.0003,2.0,,,,,,,,,
gan,,,0.5711158931440938,0.8991127720904923,3.4370163796498834,1.0,0.5153186549843605,,70.5,4.0,500.0,128.0,128x128,32x16,0.0001,1.0,,,,,,,,,
gan,,,0.3209693998680715,0.6686231869329482,1.9863077948778014,1.0,0.24262172314832728,,158.8,32.0,1200.0,32.0,32x32,32x16,0.001,1.0,,,,,,,,,
gan,,,0.5932503907088243,2.673710328487272,1.302776715701448,1.0,1.0511004841418556,,109.5,16.0,800.0,64.0,64x64,16x8,2e-05,1.0,,,,,,,,,
gan,,,0.396163592727779,1.4507930579212858,1.1684053721883496,1.0,1.2706579009197734,,40.8,32.0,300.0,64.0,32x32,32x16,2e-05,1.0,,,,,,,,,
gan,,,1.362084334704606,4.245384846904022,,1.0,0.08128456377962358,,76.2,16.0,500.0,256.0,64x128x64,16x8,0.0001,1.0,,,,,,,,,
gan,,,0.06870514622946955,0.39271097400891436,1.6709893564763967,1.0,0.7698710719161042,,294.3,8.0,800.0,256.0,128x128,64x32,2e-05,3.0,,,,,,,,,
gan,,,0.1327107977769434,0.37527244480034405,2.404790565239616,1.0,1.0012679336107386,,391.1,4.0,1500.0,256.0,32x64x32,32x16,0.0003,2.0,,,,,,,,,
gan,,,0.11985427488553285,0.46843874680421393,1.8663558261487994,1.0,1.2565814810027216,,173.9,64.0,500.0,32.0,16x32x16,64x32,2e-05,3.0,,,,,,,,,
gan,,,0.3381801567211189,0.7634827935648898,2.590018686679796,1.0,0.47488452973243644,,112.7,4.0,300.0,256.0,16x32x16,64x32,5e-05,3.0,,,,,,,,,
gan,,,0.11275558745434122,0.48147299417987155,2.0190187473263115,1.0,0.7623678258802749,,264.4,4.0,800.0,32.0,128x128,64x64,5e-05,3.0,,,,,,,,,
gan,,,0.26668166980611663,0.5823166180874491,1.0088205381422948,1.0,0.44195051896340615,,379.4,32.0,1500.0,64.0,64x128x64,128x64,0.0001,2.0,,,,,,,,,
gan,,,0.22896372382990807,0.7364065481200734,1.7200533621809284,1.0,1.5526144012599992,,100.5,32.0,300.0,32.0,32x32,128x64,5e-05,3.0,,,,,,,,,
gan,,,0.056869143380333775,0.3256720526566036,0.6313510292027907,1.0,0.6577332931285856,,275.7,64.0,800.0,64.0,32x32,16x8,0.0003,3.0,,,,,,,,,
gan,,,0.05086774609918576,0.31097087481365393,0.9347647752099258,1.0,0.9901417796927336,,120.0,16.0,500.0,64.0,32x32,64x64,0.0001,2.0,,,,,,,,,
gan,,,0.07258226727384387,0.36124111677970905,1.0426318285408966,1.0,1.0583162031913853,,70.6,64.0,300.0,32.0,32x32,128x64,0.0003,2.0,,,,,,,,,
gan,,,0.09032024713410813,0.34460994215252694,0.7615906524844186,1.0,0.8460895230185972,,105.6,8.0,300.0,128.0,64x64,128x64,0.001,3.0,,,,,,,,,
gan,,,0.7321373979676618,2.203697042136528,1.7822184063407085,1.0,0.8373991636435616,,71.4,8.0,500.0,32.0,64x128x64,64x32,5e-05,1.0,,,,,,,,,
gan,,,0.15220390399342199,0.5247400668217148,1.2592502309212383,1.0,0.8902025919825558,,107.9,8.0,300.0,128.0,128x128,128x64,5e-05,3.0,,,,,,,,,
gan,,,0.097458549152586,0.3680271362920104,1.2780092547638477,1.0,0.7906617136902571,,178.3,16.0,500.0,64.0,16x32x16,64x32,0.0005,3.0,,,,,,,,,
gan,,,0.1224785578396892,0.44556482687256993,1.7199875065847903,1.0,0.7245850028519977,,370.9,4.0,1500.0,64.0,64x128x64,64x32,0.0001,2.0,,,,,,,,,
gan,,,0.3536666329834992,1.2051764052677447,3.992926989390233,1.0,1.1596039898354182,,212.1,64.0,800.0,128.0,64x128x64,128x64,0.001,2.0,,,,,,,,,
gan,,,0.1936628113133253,0.5007868464449562,1.0709361229147232,1.0,0.4650038842114677,,109.2,32.0,300.0,64.0,64x128x64,32x16,0.0003,3.0,,,,,,,,,
gan,,,0.11246749670220102,0.49464964677255513,0.7818208502076875,1.0,0.4649616662060815,,282.7,32.0,1200.0,32.0,64x64,16x8,0.0003,2.0,,,,,,,,,
gan,,,0.03997869145577959,0.24074158141226273,1.465717373739444,1.0,0.9286171737486194,,176.7,8.0,500.0,64.0,16x32x16,128x64,5e-05,3.0,,,,,,,,,
