family,sigma,relative,mmd_mean,wasserstein_mean_mean,frobenius_corr_mean,frac_valida_mean,std_ratio_mean_mean,mmd_std,seconds,shrinkage,n_iters,grid_size,latent_dim,epochs,batch_size,gen_hidden,disc_hidden,learning_rate,d_steps_per_g
gan,,,0.0771744647527387,0.33503885381004933,1.1299146065687433,1.0,0.5833591854473111,,402.0,,,,8.0,1200.0,32.0,32x32,32x16,0.001,3.0
gan,,,0.03973088167020766,0.24611792658109,1.2081980749689845,1.0,0.7364957513208081,,497.7,,,,4.0,1500.0,32.0,128x128,128x64,5e-05,3.0
gan,,,0.44466395433369155,1.2967274723232958,1.8461420276308695,1.0,0.9054179297078413,,68.2,,,,8.0,500.0,64.0,32x32,32x16,2e-05,1.0
gan,,,0.7311792496804052,3.5540549359489404,1.513390170214902,1.0,0.6433741554083972,,73.3,,,,64.0,300.0,64.0,64x64,16x8,0.0005,2.0
gan,,,0.6453802206174386,0.9392454023210568,4.053838207073073,1.0,0.06888090308757973,,217.7,,,,4.0,1500.0,64.0,64x128x64,64x32,0.001,1.0
gan,,,0.49797662274872856,0.8538373535817296,2.294804503056424,1.0,0.10411279218492117,,167.7,,,,4.0,1200.0,64.0,64x64,16x8,0.001,1.0
gan,,,0.2972526646518543,0.823601649229083,0.9004408836252428,1.0,0.9399418589661522,,382.2,,,,16.0,1500.0,256.0,64x64,128x64,0.0003,2.0
gan,,,0.0018848074166332163,0.10092995902448625,0.3596798503435683,1.0,0.84080750045685,,529.0,,,,32.0,1500.0,128.0,32x32,64x64,0.0003,3.0
gan,,,0.01972443977257976,0.2347097176553548,1.1815533805280787,1.0,0.8560262073921351,,484.7,,,,16.0,1500.0,32.0,32x32,16x8,0.0001,3.0
gan,,,0.16995841211421192,0.5144631309324971,1.4139910862011769,1.0,0.8385309243426103,,122.3,,,,4.0,500.0,64.0,16x32x16,64x32,5e-05,2.0
gan,,,0.42929159285494733,1.2038987346061183,2.1177458913450855,1.0,0.912641681780844,,227.6,,,,32.0,1500.0,256.0,32x64x32,32x16,2e-05,1.0
gan,,,0.14328172418317242,0.5352234076559809,1.2979620692323208,1.0,0.43599634672780363,,73.9,,,,16.0,300.0,128.0,128x128,64x64,0.0003,2.0
gan,,,0.20022243573287835,0.5043552955205535,2.9599764833322655,1.0,0.7453010694865719,,175.4,,,,8.0,500.0,128.0,128x128,64x64,0.0005,3.0
gan,,,0.315094163915688,0.6158793467199577,1.2751419470824186,1.0,0.49353982933748347,,45.9,,,,16.0,300.0,256.0,128x128,128x64,0.0003,1.0
gan,,,0.1465033535166158,0.5017772537924353,1.1202997658445855,1.0,0.5592111962992802,,205.2,,,,16.0,1500.0,32.0,64x128x64,64x64,2e-05,1.0
gan,,,0.13226185803995777,0.48800181387772906,1.9732110292379617,1.0,1.105043407004787,,176.1,,,,64.0,1200.0,128.0,16x32x16,64x64,5e-05,1.0
gan,,,0.3928157221134564,0.8961126344768149,2.001197713739412,1.0,0.8158755417779691,,74.7,,,,4.0,300.0,128.0,32x32,64x32,0.0005,2.0
gan,,,0.2788280741451295,0.8303743151247701,1.465634114394955,1.0,0.9961936181453922,,436.1,,,,8.0,1200.0,256.0,32x32,16x8,2e-05,3.0
gan,,,0.3956128333578658,1.5471471959342893,1.6527365992697318,1.0,1.502406867803929,,40.0,,,,32.0,300.0,64.0,64x64,64x32,2e-05,1.0
gan,,,0.03935804758425632,0.2564944214662638,0.7586889802565646,1.0,0.6785672546833041,,274.4,,,,64.0,800.0,64.0,64x64,128x64,0.001,3.0
gan,,,0.10121131962937557,0.4139201777752863,1.0273915977225867,1.0,0.9392696349036157,,275.7,,,,32.0,800.0,64.0,32x64x32,64x32,2e-05,3.0
gan,,,0.30676864680817073,0.8190162120694294,1.4873996755008774,1.0,0.7499210762125761,,107.5,,,,4.0,800.0,64.0,32x32,64x32,0.0001,1.0
gan,,,0.43675412792267704,0.9728922927402308,1.7353943743936109,1.0,0.659956506688633,,100.5,,,,8.0,300.0,32.0,128x128,64x64,0.0003,3.0
gan,,,0.4262138729625048,1.8150870338230445,2.0790491253872925,1.0,1.6157454639654276,,105.6,,,,64.0,300.0,128.0,32x32,16x8,0.0001,3.0
gan,,,0.11440858235978346,0.5369981672058917,1.756418547574738,1.0,0.9894722469718765,,41.8,,,,4.0,300.0,128.0,32x32,64x64,5e-05,1.0
gan,,,0.7021587858429799,1.1309175972684884,3.295592745330834,1.0,0.5691276800120866,,111.5,,,,4.0,800.0,128.0,64x64,64x64,0.0005,1.0
gan,,,0.677667210225205,2.484128027399941,1.9352335866057273,1.0,0.879099637637407,,40.4,,,,16.0,300.0,32.0,128x128,64x32,5e-05,1.0
gan,,,0.41429177322406363,0.8610510273194365,1.4681430375241011,1.0,0.5085433344005372,,169.9,,,,16.0,500.0,32.0,32x64x32,16x8,0.0003,3.0
gan,,,0.3697067449485334,0.7110187142943947,2.5451657530796883,1.0,0.32032771766693663,,304.7,,,,64.0,1200.0,128.0,64x128x64,64x64,0.0003,2.0
gan,,,0.6588114135006884,2.88734024141966,2.1753459032455673,1.0,0.9774267987306879,,72.7,,,,16.0,300.0,128.0,64x64,16x8,0.001,2.0
gan,,,0.01665048106346534,0.1832475011680374,0.32832867728984666,1.0,0.775777081569648,,435.9,,,,32.0,1200.0,256.0,32x32,128x64,0.0001,3.0
gan,,,0.024810377122948535,0.24051116293220104,0.46794283363006856,1.0,0.7807107665730953,,272.5,,,,32.0,800.0,64.0,32x32,64x64,0.0005,3.0
gan,,,0.11324929054935817,0.4625688536124285,1.2096010497417675,1.0,0.9790282652096776,,78.9,,,,4.0,300.0,256.0,16x32x16,128x64,0.0003,2.0
gan,,,0.5538086884124115,1.0827409229404712,1.5255604935365796,1.0,0.6298109542538813,,432.8,,,,8.0,1200.0,256.0,64x64,16x8,5e-05,3.0
gan,,,0.6095167456916635,1.0746404228765505,2.527541533695474,1.0,0.5884058793063875,,298.9,,,,4.0,800.0,256.0,32x64x32,16x8,5e-05,3.0
gan,,,0.17153544077390437,0.6267655003327179,1.1381629302270244,1.0,1.484136899141786,,434.0,,,,64.0,1200.0,256.0,32x32,128x64,2e-05,3.0
gan,,,0.025882038983847333,0.20750230249481075,1.405574231862338,1.0,0.8351343258683942,,112.9,,,,16.0,300.0,256.0,16x32x16,64x64,0.001,3.0
