family,dropout,l2,learning_rate,batch_size,hidden_units,best_val_mean,final_val_mean,train_at_best_mean,best_epoch_mean,epochs_run_mean,overfit_ratio_mean,gap_ratio_mean,n_params_mean,best_val_std,seconds,conv_filters,dense_units,global_pool,kernel_size,lstm_units,recurrent_dropout
rnn,0.4,0.0,0.0001,16,,0.011506090251108011,0.011511590331792831,0.014670053496956825,11.333333333333334,52.333333333333336,1.0004780582262136,0.7851176226062769,7001.0,4.683883758655433e-06,93.2,,64.0,,,16,0.2
dense,0.2,0.0,0.0001,128,32,0.011682778596878052,0.01180968185265859,0.014057486318051815,24.0,65.0,1.0108649517547867,0.8311025477521344,96857.0,6.218731679837352e-05,30.9,,,,,,
cnn,0.3,0.1,0.0003,128,,0.16862172385056814,0.16862172385056814,0.1728014995654424,399.0,400.0,1.0,0.9757942660441558,6889.0,0.006718063870362121,137.6,8x16,100.0,True,5.0,,
rnn,0.6,1e-05,5e-05,32,,0.012098439037799835,0.012098439037799835,0.014828067583342394,399.0,400.0,1.0,0.8159144867429075,14457.0,2.3343462445312997e-05,682.4,,16.0,,,32x16,0.1
dense,0.4,0.0001,0.0005,16,64,0.012271052226424217,0.012975409937401613,0.011414332315325737,75.33333333333333,116.33333333333333,1.0573739932319555,1.075649700246563,193689.0,4.2278491445153585e-05,66.0,,,,,,
cnn,0.5,0.0001,3e-05,64,,0.01829640567302704,0.01829640567302704,0.021032205472389858,399.0,400.0,1.0,0.8698933664377048,14793.0,0.0004185877340102023,155.2,16x32,16.0,False,7.0,,
rnn,0.1,0.01,0.001,64,,0.01151321642100811,0.01151527309169372,0.014245782978832722,341.0,382.0,1.0001786356536921,0.8081841762206078,14121.0,2.7138816528859917e-06,424.6,,8.0,,,32x16,0.3
dense,0.5,0.0,0.001,64,16,0.011507682191828886,0.011515428001681963,0.014248643691341082,10.0,51.0,1.0006735580510728,0.8076337096568178,48441.0,1.0404911293463251e-05,29.0,,,,,,
cnn,0.1,0.0001,0.0003,64,,0.01158591111501058,0.01158591111501058,0.014314156025648117,399.0,400.0,1.0,0.8094023238074398,1505.0,3.5501871584778627e-06,141.2,8,8.0,True,3.0,,
rnn,0.5,0.1,0.0003,64,,0.025387332464257877,0.025387332464257877,0.028265153368314106,399.0,400.0,1.0,0.8981697707932638,130745.0,0.0004363893311665165,603.1,,16.0,,,64x128,0.0
dense,0.4,0.0001,0.0001,64,16,0.013371936045587063,0.013407368833820025,0.013571396159629026,328.6666666666667,358.3333333333333,1.0026014207719927,0.9858219368475494,48441.0,0.0005095414951188838,125.2,,,,,,
cnn,0.0,0.0001,0.0003,128,,0.017393894493579865,0.017767557874321938,0.016554267145693302,150.66666666666666,191.66666666666666,1.021729175031309,1.0549960703956582,25961.0,0.0006568016361689856,79.8,16x32x64,32.0,False,5.0,,
rnn,0.4,0.1,0.0005,32,,0.011514860515793165,0.011516505231459936,0.01424678135663271,289.0,330.0,1.0001428378472015,0.8082429431583028,12505.0,3.4238995410823963e-06,343.3,,32.0,,,32,0.3
dense,0.1,0.01,0.0003,128,64,0.02566463313996792,0.02566463313996792,0.028257353852192562,399.0,400.0,1.0,0.9082236306177672,193689.0,0.0006206032365827441,137.8,,,,,,
cnn,0.6,0.0,0.001,32,,0.011488793728252253,0.011542152923842272,0.014215976310273012,57.666666666666664,98.66666666666667,1.0046597017401406,0.8081930327327967,48209.0,3.704914797006629e-05,55.2,16x32,100.0,False,3.0,,
